Parcela;Especie;DAP
17;Zanthoxylum kleinii;10,3450713
17;Podocarpus lambertii;19,38507207
17;Jacaranda puberula;11,07718404
17;Jacaranda puberula;13,59183214
17;Jacaranda puberula;5,793239929
17;Casearia decandra;6,366197724
17;Jacaranda puberula;7,161972439
17;Cinnamomum amoenum;35,49155231
17;Solanum sanctaecatharinae;6,843662553
17;Jacaranda puberula;6,079718826
17;Myrcia guianensis;17,18339839
17;Jacaranda puberula;5,665915974
17;Jacaranda puberula;5,920563883
17;Jacaranda puberula;10,69521218
17;Podocarpus lambertii;28,20225592
17;Eugenia pluriflora;6,557183655
17;Casearia decandra;5,156620156
17;Calyptranthes concinna;6,46169069
17;Calyptranthes concinna;6,548215399
17;Jacaranda puberula;5,76140894
17;Calyptranthes concinna;9,690954809
17;Jacaranda puberula;5,315775099
17;Jacaranda puberula;5,347606088
17;Casearia decandra;13,87831104
17;Lithraea brasiliensis;25,27380496
17;Solanum sanctaecatharinae;15,34253651
17;Jacaranda puberula;6,780000576
17;Ocotea pulchella;31,13070687
